Callsign,Code,Number,AirlineCode,AirportCodes
SEW361,SEW,361,SEW,HKMO-HKJK
SEW364,SEW,364,SEW,HKJK-HKMO
SEW366,SEW,366,SEW,HKJK-HKMO
SEW402,SEW,402,SEW,HKJK-HKMO-HTDA
SEW404,SEW,404,SEW,HKJK-HKMO-HTDA
