Callsign,Code,Number,AirlineCode,AirportCodes
FVJ110,FVJ,110,FVJ,DNMM-GBYD
FVJ111,FVJ,111,FVJ,GBYD-DNMM
FVJ215,FVJ,215,FVJ,DNAA-DNMM
FVJ260,FVJ,260,FVJ,DNMM-DNIM
FVJ261,FVJ,261,FVJ,DNIM-DNMM
