Callsign,Code,Number,AirlineCode,AirportCodes
FNA513,FNA,513,FNA,BIRK-BIAR
FNA514,FNA,514,FNA,BGCO-BIRK
FNA570,FNA,570,FNA,BIRK-BIBD
FNA571,FNA,571,FNA,BIBD-BIRK
FNA78,FNA,78,FNA,BIRK-BIAR
FNA78B,FNA,78B,FNA,BIRK-BIAR
FNA78C,FNA,78C,FNA,BIRK-BIAR
