Callsign,Code,Number,AirlineCode,AirportCodes
PYR13,PYR,13,PYR,UUEE-DTMB
PYR14,PYR,14,PYR,DTMB-UUEE
PYR5,PYR,5,PYR,ULLI-DTMB
PYR6,PYR,6,PYR,DTMB-ULLI
